Date Rptd,DATE OCC,TIME OCC,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
2/28/2020 0:00,2/28/2020 0:00,1500,Hollenbeck,477,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,H,STREET,204.0,FOLDING KNIFE,IC,Invest Cont,230.0,8TH                          ST,OLYMPIC                      BL,34.0322,-118.2117
9/9/2020 0:00,9/9/2020 0:00,500,Southeast,1832,1,210,ROBBERY,72,M,B,STREET,102.0,HAND GUN,IC,Invest Cont,210.0,IMPERIAL                     HY,FIGUEROA                     ST,33.9401,-118.2761
10/3/2020 0:00,10/3/2020 0:00,1855,77th Street,1256,1,210,ROBBERY,24,M,H,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210.0,FLORENCE,GRAND,33.9747,-118.2803
1/4/2021 0:00,12/31/2020 0:00,15,Foothill,1621,2,437,RESISTING ARREST,0,M,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,437.0,PAXTON,LAUREL CANYON,34.2647,-118.4384
8/16/2020 0:00,8/16/2020 0:00,100,77th Street,1241,1,210,ROBBERY,37,M,H,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,210.0,VICTORIA                     AV,HYDE PARK                    BL,33.9806,-118.3323
6/14/2020 0:00,6/13/2020 0:00,2145,Hollenbeck,402,2,437,RESISTING ARREST,0,X,X,SIDEWALK,511.0,VERBAL THREAT,AO,Adult Other,437.0,AVENUE 43,GRIFFIN                      AV,34.0915,-118.2032
2/11/2020 0:00,2/11/2020 0:00,1000,Southwest,393,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,33,F,B,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,236.0,VERNON                       AV,11TH                         AV,34.0037,-118.3294
2/14/2020 0:00,2/13/2020 0:00,1200,Van Nuys,998,2,647,THROWING OBJECT AT MOVING VEHICLE,23,F,W,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647.0,VENTURA                      BL,COLDWATER CA,34.137,-118.4187
5/6/2020 0:00,5/6/2020 0:00,1145,Topanga,2177,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,25,M,O,STREET,511.0,VERBAL THREAT,AO,Adult Other,930.0,DE SOTO                      AV,BURBANK                      BL,34.1733,-118.5882
2/17/2020 0:00,2/6/2020 0:00,200,Olympic,2033,2,624,BATTERY - SIMPLE ASSAULT,36,M,W,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,VERMONT,WILSHIRE,34.0581,-118.3066
11/16/2020 0:00,11/15/2020 0:00,2355,Mission,1958,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,F,H,TRANSIENT ENCAMPMENT,114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,IC,Invest Cont,230.0,VAN NUYS                     BL,WOODMAN                      AV,34.2475,-118.4476
4/12/2020 0:00,4/12/2020 0:00,1425,Topanga,2125,1,220,ATTEMPTED ROBBERY,32,M,H,STREET,113.0,SIMULATED GUN,AA,Adult Arrest,220.0,CANOGA                       AV,SATICOY                      ST,34.2083,-118.5975
2/18/2020 0:00,2/18/2020 0:00,1600,77th Street,1265,2,624,BATTERY - SIMPLE ASSAULT,16,M,B,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,VERMONT,83RD,33.9628,-118.2919
4/8/2020 0:00,4/8/2020 0:00,1350,Hollywood,646,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,31,M,W,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,HOLLYWOOD                    BL,OLYMPIC                      AV,34.0987,-118.3337
8/29/2020 0:00,8/29/2020 0:00,240,Harbor,514,1,210,ROBBERY,61,M,W,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,PACIFIC COAST,FIGUEROA,33.7905,-118.2811
5/11/2020 0:00,5/11/2020 0:00,1430,77th Street,1266,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",51,M,H,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,740.0,HOOVER                       ST,81ST                         ST,33.9655,-118.2871
3/15/2020 0:00,3/15/2020 0:00,1800,Central,152,1,820,ORAL COPULATION,66,F,W,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,820.0,7TH,GRAND,34.0473,-118.2566
8/2/2020 0:00,8/2/2020 0:00,110,Harbor,504,2,624,BATTERY - SIMPLE ASSAULT,29,F,H,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,204TH,HARVARD,33.8457,-118.3066
